CCNum,Trans_date_Time,Attrition_Flag,Surname,Age,Gender,CreditScore,Geography,Tenure,Education_Level,Income_Category,Card_Category,Credit_Limit,Total_Trans_Amt,Total_Trans_Ct,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,is_fraud,Exited
713382558,06/01/2019 05:54,Existing Customer,Ting,58,M,740,Germany,7,Uneducated,$120K +,Blue,21794,15111,116,130367.87,1,1,0,15142.1,0,0
717596883,06/01/2019 05:54,Existing Customer,Lo Duca,59,M,826,Germany,2,Graduate,$80K - $120K,Blue,3304,14565,120,108410.87,2,1,0,102908.91,0,1
712993008,06/01/2019 05:54,Existing Customer,Marshall,59,F,494,France,2,Uneducated,Less than $40K,Blue,3850,15107,117,90408.16,2,0,0,48170.57,0,0
824763783,06/01/2019 05:56,Existing Customer,Band,58,M,738,France,6,Graduate,$40K - $60K,Blue,4158,15842,130,90425.15,2,1,1,11597.69,0,0
771730758,06/01/2019 05:57,Existing Customer,Ferri,52,F,740,Spain,6,High School,Less than $40K,Blue,4182,16920,114,140094.59,1,1,0,172450.04,0,0
780265458,06/01/2019 05:58,Existing Customer,Carter,57,M,487,Spain,9,College,$40K - $60K,Blue,4626,14740,102,0,2,0,1,184061.17,0,1
714256758,06/01/2019 05:58,Existing Customer,Wilson,51,M,673,Germany,6,Post-Graduate,$80K - $120K,Blue,3742,16401,121,95439.4,1,1,1,21038.58,0,0
710292333,06/01/2019 05:59,Attrited Customer,Connor,45,F,549,Germany,6,High School,Less than $40K,Silver,13651,9772,71,204017.4,2,1,0,109538.35,0,1
712171158,06/01/2019 05:59,Attrited Customer,Reid,43,M,724,Spain,9,High School,$60K - $80K,Silver,26794,8788,58,0,2,1,0,129192.55,0,0
787339158,06/01/2019 05:59,Existing Customer,Sandefur,57,M,440,Germany,3,Uneducated,$80K - $120K,Blue,17190,15055,117,137115.16,1,1,0,146516.86,0,0
788782008,06/01/2019 06:00,Attrited Customer,Bidwill,48,F,514,Germany,5,Uneducated,$40K - $60K,Blue,4167,7590,87,134740.19,2,1,0,181430.91,0,1
714848958,06/01/2019 06:00,Existing Customer,Cone,48,F,540,France,5,Uneducated,Less than $40K,Silver,12944,16161,105,0,2,0,0,121451.21,0,0
714987633,06/01/2019 06:01,Existing Customer,Saunders,43,M,629,Germany,4,Graduate,Less than $40K,Blue,6933,15585,115,98955.87,1,0,1,131712.51,0,0
717684858,06/01/2019 06:02,Existing Customer,Liardet,51,M,627,Germany,9,High School,$80K - $120K,Silver,34516,15930,123,49157.09,2,1,0,53294.17,0,0
767376483,06/01/2019 06:03,Attrited Customer,Wilkes,28,M,801,Germany,1,Unknown,$40K - $60K,Blue,13589,9456,79,130240.33,1,0,0,96546.55,0,1
709901058,06/01/2019 06:05,Existing Customer,Martin,39,M,619,France,1,Doctorate,$80K - $120K,Blue,4552,14418,104,108019.27,3,1,1,184524.65,0,0
823149483,06/01/2019 06:06,Existing Customer,Boni,53,M,790,Germany,4,Graduate,$60K - $80K,Blue,3750,17995,116,126725.25,1,1,0,195259.31,0,0
780073158,06/01/2019 06:07,Existing Customer,Patel,58,M,787,Germany,5,High School,$60K - $80K,Blue,17655,16293,120,96693.66,1,1,1,172618.52,0,1
779998083,06/01/2019 06:08,Existing Customer,Howell-Price,34,F,827,Germany,7,Uneducated,Less than $40K,Blue,8224,16319,124,129810.6,1,1,1,59259.44,0,0
713144208,06/01/2019 06:09,Existing Customer,Simpson,52,M,860,France,8,Graduate,$80K - $120K,Blue,3946,14822,96,156652.13,1,0,0,25899.21,0,1
771594783,06/01/2019 06:09,Existing Customer,Rowland,57,F,742,France,9,Graduate,$40K - $60K,Blue,5654,15123,111,0,1,0,0,3749,0,0
816613158,06/01/2019 06:10,Existing Customer,Barnard,49,M,703,France,4,High School,$60K - $80K,Blue,16268,15925,124,130661.96,1,1,1,101918.96,0,1
770774133,06/01/2019 06:10,Existing Customer,Nnonso,54,M,586,France,8,Graduate,$60K - $80K,Silver,28564,14875,107,0,2,1,1,57802.62,0,0
712300683,06/01/2019 06:11,Existing Customer,Rossi,42,F,653,France,6,High School,Less than $40K,Blue,6172,16622,99,0,2,0,0,142454.77,0,0
714536208,06/01/2019 06:15,Existing Customer,Pendred,51,M,767,France,3,Graduate,$40K - $60K,Blue,5435,16202,117,130747.1,1,1,0,143829.54,0,0
784880958,06/01/2019 06:15,Existing Customer,Martin,35,M,579,Germany,6,Unknown,$40K - $60K,Silver,16496,16715,126,106629.49,1,0,1,44114.88,0,0
713784558,06/01/2019 06:16,Existing Customer,K?,57,F,782,Spain,3,Uneducated,Unknown,Blue,8348,15905,111,112029.83,1,1,1,186948.35,0,0
719305608,06/01/2019 06:16,Existing Customer,Miller,58,F,586,Germany,7,Graduate,Less than $40K,Blue,7562,14908,100,130575.26,1,0,1,173629.78,0,0
720190083,06/01/2019 06:18,Existing Customer,Afamefula,57,M,618,Germany,4,Uneducated,$120K +,Gold,14938,15277,131,96679.71,1,1,1,49133.45,0,0
708323208,06/01/2019 06:20,Existing Customer,Sims,48,M,804,France,0,High School,$80K - $120K,Silver,34516,16177,122,0,2,0,0,178122.71,0,0
781183233,06/01/2019 06:20,Existing Customer,Knight,45,M,603,France,6,Graduate,$40K - $60K,Blue,7935,15380,122,171740.69,1,0,0,20893.61,0,0
718825908,06/01/2019 06:21,Existing Customer,Obijiaku,61,M,607,Spain,1,Graduate,$60K - $80K,Silver,34516,13940,105,0,2,1,0,41303.29,0,1
716963283,06/01/2019 06:22,Attrited Customer,Hopkins,48,F,551,Germany,9,Unknown,Less than $40K,Blue,9611,7636,64,100116.67,1,1,1,199808.1,0,0
714924483,06/01/2019 06:23,Existing Customer,Onio,61,F,702,Germany,2,Unknown,$40K - $60K,Blue,12958,15681,96,120596.93,1,0,1,180490.53,0,0
779922183,06/01/2019 06:24,Existing Customer,Black,53,M,687,France,1,High School,$80K - $120K,Blue,4103,16344,118,0,2,1,1,87400.53,0,1
719449533,06/01/2019 06:25,Attrited Customer,Eluemuno,48,F,778,France,2,Graduate,Unknown,Blue,6888,9038,64,95984.69,2,1,1,73686.75,0,0
712559058,06/01/2019 06:26,Existing Customer,Doyle,55,M,812,France,1,High School,$60K - $80K,Blue,21906,15349,119,142557.11,1,1,1,172497.73,0,0
717853233,06/01/2019 06:26,Existing Customer,Onyemere,42,M,594,France,5,Unknown,$60K - $80K,Blue,7288,14873,120,0,2,1,0,89286.29,0,1
790069233,06/01/2019 06:26,Existing Customer,Rahman,46,M,624,Spain,2,Unknown,$80K - $120K,Blue,34516,15490,110,0,2,0,1,180082.7,0,0
794576058,06/01/2019 06:26,Existing Customer,Su,43,M,860,Germany,6,College,$80K - $120K,Blue,12540,16518,115,143644.16,1,1,0,22102.25,0,0
779877858,06/01/2019 06:27,Existing Customer,Walker,54,M,681,France,6,High School,$40K - $60K,Blue,4493,17744,104,132129.72,1,0,1,76068.95,0,0
772334133,06/01/2019 06:27,Attrited Customer,Ferguson,54,M,636,France,0,Graduate,$120K +,Silver,34516,9931,70,0,2,1,0,32159.46,0,1
714139308,06/01/2019 06:28,Existing Customer,Samaniego,54,F,780,France,2,Graduate,Less than $40K,Blue,8900,16737,88,183555.24,1,0,0,159557.28,0,0
806634783,06/01/2019 06:29,Existing Customer,Onwumelu,39,M,643,France,2,Graduate,$60K - $80K,Silver,29808,16098,128,91902.56,2,1,1,107673.35,0,1
720101658,06/01/2019 06:32,Existing Customer,Young,27,M,673,France,6,Graduate,$40K - $60K,Blue,3735,14501,92,156218.19,1,0,1,33607.72,0,0
719925483,06/01/2019 06:32,Existing Customer,Mazzi,47,F,591,Germany,5,Uneducated,Less than $40K,Blue,8398,16706,123,93259.57,3,1,0,141035.65,0,1
719572833,06/01/2019 06:33,Attrited Customer,Toscano,58,M,571,Germany,2,High School,$80K - $120K,Blue,22754,8531,77,168085.38,2,0,1,115719.08,0,0
720729108,06/01/2019 06:34,Existing Customer,Walton,33,M,489,Germany,1,Graduate,$60K - $80K,Silver,29663,14638,93,107714.74,3,1,0,86128.21,0,1
819214233,06/01/2019 06:35,Attrited Customer,Chiang,44,F,779,France,6,High School,Less than $40K,Blue,5043,10170,66,117852.26,2,1,0,147668.64,0,0
718896108,06/01/2019 06:36,Existing Customer,Burgos,49,F,669,Spain,2,Graduate,Less than $40K,Blue,4299,15068,123,0,1,1,0,177480.45,0,0
713723433,06/01/2019 06:36,Attrited Customer,Spinelli,53,M,600,Spain,10,Graduate,$60K - $80K,Blue,11859,8930,79,84474.62,2,1,1,190937.09,0,1
708514383,06/01/2019 06:36,Attrited Customer,Lung,39,M,570,France,3,Graduate,$80K - $120K,Blue,17504,10468,66,0,2,1,0,84531.79,0,0
716961033,06/01/2019 06:40,Existing Customer,Noble,49,M,447,Germany,6,High School,Less than $40K,Blue,4165,17093,111,126803.34,2,1,1,161133.4,0,0
778819083,06/01/2019 06:40,Existing Customer,Pai,41,M,661,France,0,Graduate,$80K - $120K,Silver,34516,15274,108,0,2,1,0,185555.63,0,0
714773508,06/01/2019 06:41,Existing Customer,Chigozie,54,M,677,Germany,10,Graduate,$60K - $80K,Blue,6481,15937,119,68806.84,1,1,0,33075.24,0,0
814181433,06/01/2019 06:42,Attrited Customer,Peavy,46,M,560,France,3,College,$120K +,Gold,34516,9338,73,115141.18,1,1,0,39806.75,0,0
711984633,06/01/2019 06:42,Attrited Customer,Yermakov,36,M,578,France,2,High School,$60K - $80K,Blue,13303,10219,85,0,2,0,1,26389.92,0,0
710662158,06/01/2019 06:43,Existing Customer,Burton,41,M,421,Spain,6,Graduate,Less than $40K,Blue,4700,14723,96,90723.36,1,1,1,12162.76,0,0
711356733,06/01/2019 06:44,Existing Customer,Costa,45,M,492,Germany,2,Uneducated,$40K - $60K,Blue,5639,16628,109,151249.45,2,1,1,167237.94,0,1
711456108,06/01/2019 06:46,Existing Customer,Pugliesi,46,M,545,France,6,College,$80K - $120K,Blue,13187,15354,112,0,2,1,1,52067.37,0,0
780727833,06/01/2019 06:46,Existing Customer,Lindell,51,M,640,Germany,9,Graduate,$80K - $120K,Blue,17925,17498,111,94752.49,1,1,0,184006.36,0,0
771471708,06/01/2019 06:46,Attrited Customer,Sorenson,44,M,624,Spain,6,Unknown,$80K - $120K,Blue,9959,10310,63,0,1,1,0,582.59,0,1
714320358,06/01/2019 06:47,Attrited Customer,Arcuri,38,F,577,Spain,7,Uneducated,Unknown,Blue,14657,6009,53,0,1,1,0,143274.41,0,0
720700008,06/01/2019 06:47,Existing Customer,Banks,50,M,704,France,5,High School,$60K - $80K,Blue,13940,15577,114,132084.66,3,1,1,54474.48,0,0
713027058,06/01/2019 06:48,Existing Customer,Parry,46,F,523,France,5,Graduate,Less than $40K,Blue,3688,14596,120,0,2,1,1,121428.2,0,1
778228458,06/01/2019 06:49,Existing Customer,Cockett,52,M,793,France,2,Graduate,$40K - $60K,Blue,4003,15476,117,0,2,1,1,79704.12,0,0
781137783,06/01/2019 06:50,Attrited Customer,Galkina,40,M,564,France,2,Unknown,$40K - $60K,Blue,4277,8764,69,45472.28,1,1,1,41055.71,0,1
719821908,06/01/2019 06:50,Attrited Customer,Su,38,F,711,France,1,High School,Less than $40K,Blue,5409,10291,60,0,1,0,0,41590.4,0,0
720537633,06/01/2019 06:50,Attrited Customer,Marino,44,M,791,Germany,10,Graduate,$40K - $60K,Blue,5281,8395,62,130229.71,2,0,0,54019.93,0,0
712378983,06/01/2019 06:52,Attrited Customer,Spears,54,F,629,Germany,9,Graduate,Less than $40K,Silver,10388,10294,61,123948.85,1,1,0,76053.07,0,1
763681908,06/01/2019 06:53,Existing Customer,Cunningham,34,F,729,Germany,6,Unknown,Less than $40K,Blue,5795,5674,78,127415.85,1,1,1,184977.2,0,0
721164483,06/01/2019 06:54,Existing Customer,Taylor,46,F,651,Germany,8,College,$40K - $60K,Blue,1441,4894,84,110067.71,1,1,0,127678.95,0,1
715447008,06/01/2019 06:54,Existing Customer,Chiazagomekpere,50,F,695,Spain,4,Graduate,Less than $40K,Blue,2999,5119,83,65521.2,1,1,1,1243.97,0,1
769676358,06/01/2019 06:54,Existing Customer,Hardacre,38,M,847,Spain,5,High School,$60K - $80K,Blue,1438.3,5066,76,0,2,1,1,76326.67,0,0
710487033,06/01/2019 06:55,Existing Customer,Maslow,44,F,704,France,5,High School,$40K - $60K,Blue,1438.3,4445,78,0,2,1,1,145338.61,0,0
714197133,06/01/2019 06:55,Attrited Customer,Scott,51,F,613,Germany,3,College,$40K - $60K,Blue,4762,2811,52,155736.42,2,1,1,57751.21,0,0
718488783,06/01/2019 06:56,Existing Customer,Wakelin,40,M,692,Spain,4,College,$40K - $60K,Blue,4802,4821,66,0,2,0,0,138880.24,0,0
715663458,06/01/2019 06:57,Existing Customer,Esposito,51,F,720,France,3,Unknown,Less than $40K,Blue,2268,5016,88,118307.57,2,1,1,136120.29,0,0
717865008,06/01/2019 06:58,Existing Customer,Shah,51,F,577,France,6,Unknown,$40K - $60K,Blue,1438.3,4425,81,0,1,1,1,167621.18,0,0
771400608,06/01/2019 06:59,Existing Customer,Chukwufumnanya,56,F,710,Germany,7,Graduate,Unknown,Blue,8204,4727,76,103099.17,2,1,0,173276.62,0,0
708148158,06/01/2019 06:59,Existing Customer,Fleming,39,F,716,France,1,Unknown,Unknown,Blue,1827,4207,86,0,2,1,1,99661.46,0,0
720589008,06/01/2019 07:00,Existing Customer,Lori,47,F,410,France,6,Doctorate,Unknown,Blue,4072,4317,83,125789.69,1,0,0,66333.56,0,0
784795083,06/01/2019 07:03,Existing Customer,Kennedy,31,F,584,Germany,4,High School,Less than $40K,Blue,1984,4794,73,109646.83,1,1,1,70240.79,0,1
809844108,06/01/2019 07:06,Existing Customer,Walters,48,M,792,France,1,Doctorate,$60K - $80K,Blue,8086,4775,78,127187.86,1,1,1,113553.42,0,0
711521958,06/01/2019 07:07,Existing Customer,Han,51,F,605,France,6,Unknown,Less than $40K,Blue,1588,4660,68,0,1,0,1,690.84,0,0
711833508,06/01/2019 07:08,Existing Customer,Lawrence,47,M,486,Spain,1,High School,$40K - $60K,Blue,1536,4643,89,0,1,1,0,98802.76,0,0
713146683,06/01/2019 07:09,Existing Customer,Cooke,35,F,615,France,4,High School,Unknown,Blue,4460,5473,79,130385.82,1,0,1,130661.95,0,0
716968683,06/01/2019 07:09,Existing Customer,Wan,46,F,676,France,1,High School,Unknown,Blue,11287,5157,72,107787.47,1,0,1,116378.82,0,0
716279508,06/01/2019 07:11,Attrited Customer,Lo Duca,48,M,571,France,1,College,$80K - $120K,Blue,3430,2639,46,99325.04,2,0,1,186052.15,0,0
771336783,06/01/2019 07:12,Existing Customer,Yermakova,51,F,850,France,9,High School,Less than $40K,Blue,1759,4351,81,0,1,0,0,100101.06,0,0
717502083,06/01/2019 07:13,Attrited Customer,Combs,41,M,717,France,7,Doctorate,$120K +,Blue,6314,2718,44,123764.95,1,1,1,169952.82,0,1
714843483,06/01/2019 07:14,Existing Customer,Chien,57,F,642,Germany,8,Uneducated,Unknown,Blue,7176,5063,83,128264.03,1,1,0,61792.76,0,0
709745508,06/01/2019 07:14,Attrited Customer,Meng,58,F,780,Spain,7,Unknown,$40K - $60K,Blue,2295,2140,40,86006.21,1,1,1,37973.13,0,0
711382458,06/01/2019 07:14,Attrited Customer,Calabresi,43,M,492,Germany,8,Graduate,$60K - $80K,Blue,1438.3,2389,49,57068.43,2,1,0,188974.81,0,0
712190358,06/01/2019 07:17,Existing Customer,Stevenson,48,F,760,Germany,5,Uneducated,Less than $40K,Blue,1843,5199,73,103607.24,2,0,1,86334.64,0,0
788805858,06/01/2019 07:20,Existing Customer,Davidson,49,M,500,Spain,1,College,$40K - $60K,Blue,2181,4997,89,99004.24,1,1,1,152845.99,0,0
709102458,06/01/2019 07:21,Attrited Customer,Ch'in,47,M,654,Spain,2,High School,$80K - $120K,Blue,4754,2607,41,0,2,1,1,146652.11,0,0
712533708,06/01/2019 07:21,Existing Customer,Rose,43,M,606,Spain,3,High School,$80K - $120K,Blue,11247,4894,85,147386.72,3,1,0,45482.04,0,0
720326733,06/01/2019 07:22,Existing Customer,Ch'ien,55,M,367,Spain,6,Graduate,$120K +,Blue,16258,3761,58,93608.28,1,1,0,168816.73,0,1
713605908,06/01/2019 07:22,Existing Customer,Artyomova,49,M,799,Spain,2,Graduate,$120K +,Blue,34516,3863,69,0,2,1,1,59297.34,0,1
711598533,06/01/2019 07:22,Existing Customer,Mayrhofer,43,M,434,Germany,9,High School,$60K - $80K,Blue,4255,3607,75,119496.87,1,1,0,125848.88,0,0
795855258,06/01/2019 07:22,Existing Customer,Yefremov,48,F,719,Spain,7,College,Less than $40K,Blue,1438.3,5045,82,0,1,0,0,76264.27,0,0
826783233,06/01/2019 07:22,Existing Customer,Kosovich,57,F,641,France,2,High School,Less than $40K,Blue,3029,4750,89,0,2,1,0,3939.87,0,0
789228108,06/01/2019 07:23,Existing Customer,Lu,56,F,461,Spain,6,Graduate,Unknown,Blue,9091,4378,86,0,2,1,1,15306.29,0,0
785230083,06/01/2019 07:23,Existing Customer,Taplin,50,M,790,Germany,5,Uneducated,$60K - $80K,Blue,3318,4905,80,152885.77,1,1,0,58214.79,0,0
807946833,06/01/2019 07:27,Attrited Customer,Ebelechukwu,44,F,588,France,4,Graduate,Less than $40K,Blue,1791,2771,36,99607.37,2,0,1,35877.03,0,0
711011508,06/01/2019 07:27,Existing Customer,Fleming,43,F,621,France,4,Graduate,Less than $40K,Blue,1620,4387,91,137003.68,1,1,0,21254.06,0,1
718632933,06/01/2019 07:27,Existing Customer,Yefimov,58,F,768,Germany,3,College,Less than $40K,Blue,1552,4731,71,122831.58,1,1,1,24533.89,0,0
717284133,06/01/2019 07:28,Existing Customer,Andreyeva,53,F,681,Spain,2,High School,Less than $40K,Blue,3472,4520,84,99811.44,2,1,0,23531.5,0,0
711701058,06/01/2019 07:29,Existing Customer,Pickering,48,F,606,Spain,8,Graduate,Less than $40K,Silver,10973,4892,94,154712.58,2,1,0,89099.18,0,0
712228458,06/01/2019 07:30,Existing Customer,Allan,50,M,542,Spain,8,Unknown,$120K +,Blue,25645,4302,63,0,1,1,1,807.06,0,0
